battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,brand_name
842.0,0,2.2,0,1,0,7,0.6,188,2,2,20.0,756,2549.0,9,7,19,0,0,1,1,Apple
1021.0,1,0.5,1,0,1,53,0.7,136,3,6,,1988,2631.0,17,3,7,1,1,0,2,Nokia
563.0,1,0.5,1,2,1,41,0.9,145,5,6,1263.0,1716,2603.0,11,2,9,1,1,0,2,Apple
615.0,1,2.5,0,0,0,10,0.8,131,6,9,1216.0,1786,2769.0,16,8,11,1,0,0,2,Realme
1821.0,1,1.2,0,13,1,44,0.6,141,2,14,1208.0,1212,1411.0,8,2,15,1,1,0,1,Vivo
1859.0,0,0.5,1,3,0,22,0.7,164,1,7,1004.0,1654,1067.0,17,1,10,1,0,0,1,Asus
1821.0,0,1.7,0,4,1,10,0.8,139,8,10,,1018,3220.0,13,8,18,1,0,1,3,Asus
1954.0,0,0.5,1,0,0,24,0.8,187,4,0,512.0,1149,700.0,16,3,5,1,1,1,0,OnePlus
1445.0,1,0.5,0,0,0,53,0.7,174,7,14,386.0,836,1099.0,17,1,20,1,0,0,0,Oppo
509.0,1,0.6,1,2,1,9,0.1,93,5,15,1137.0,1224,,19,10,12,1,0,0,0,OnePlus
769.0,1,2.9,1,0,0,9,0.1,182,5,1,248.0,874,3946.0,5,2,7,0,0,0,3,Asus
1520.0,1,2.2,0,5,1,33,0.5,177,8,18,151.0,1005,3826.0,14,9,13,1,1,1,3,OnePlus
1815.0,0,2.8,0,2,0,33,0.6,159,4,17,607.0,748,1482.0,18,0,2,1,0,0,1,OnePlus
803.0,1,2.1,0,7,0,17,1.0,198,4,11,344.0,1440,2680.0,7,1,4,1,0,1,2,Samsung
1866.0,0,0.5,0,13,1,52,0.7,185,1,17,356.0,563,373.0,14,9,3,1,0,1,0,Oppo
775.0,0,1.0,0,3,0,46,0.7,159,2,16,862.0,1864,568.0,17,15,11,1,1,1,0,Realme
838.0,0,0.5,0,1,1,13,0.1,196,8,4,984.0,1850,3554.0,10,9,19,1,0,1,3,Nokia
595.0,0,0.9,1,7,1,23,0.1,121,3,17,441.0,810,3752.0,10,2,18,1,1,0,3,Asus
1131.0,1,0.5,1,11,0,49,0.6,101,5,18,658.0,878,1835.0,19,13,16,1,1,0,1,Oppo
682.0,1,0.5,0,4,0,19,1.0,121,4,11,902.0,1064,2337.0,11,1,18,0,1,1,1,Asus
772.0,0,1.1,1,12,0,39,0.8,81,7,14,1314.0,1854,2819.0,17,15,3,1,1,0,3,OnePlus
1709.0,1,2.1,0,1,0,13,1.0,156,2,2,974.0,1385,3283.0,17,1,15,1,0,0,3,Asus
1949.0,0,2.6,1,4,0,47,0.3,199,4,7,407.0,822,1433.0,11,5,20,0,0,1,1,Motorola
1602.0,1,2.8,1,4,1,38,0.7,114,3,20,466.0,788,1037.0,8,7,20,1,0,0,0,Apple
503.0,0,1.2,1,5,1,8,0.4,111,3,13,201.0,1245,2583.0,11,0,12,1,0,0,1,Xiaomi
961.0,1,1.4,1,0,1,57,0.6,114,8,3,291.0,1434,2782.0,18,9,7,1,1,1,2,Xiaomi
,1,1.6,1,7,1,51,0.3,132,4,19,550.0,645,3763.0,16,1,4,1,0,1,3,Xiaomi
956.0,0,0.5,0,1,1,41,1.0,143,7,6,511.0,1075,3286.0,17,8,12,1,1,0,3,Xiaomi
1453.0,0,1.6,1,12,1,52,0.3,96,2,18,187.0,1311,2373.0,10,1,10,1,1,1,2,Xiaomi
851.0,0,0.5,0,3,0,21,0.4,200,5,7,1171.0,1263,478.0,12,7,10,1,0,1,0,OnePlus
1579.0,1,0.5,1,0,0,5,0.2,88,7,9,1358.0,1739,3532.0,17,11,12,0,0,1,3,OnePlus
1568.0,1,0.5,0,16,0,33,1.0,150,8,20,413.0,654,508.0,5,1,6,1,1,1,0,Xiaomi
1319.0,1,0.9,0,3,1,41,0.9,107,1,18,85.0,1152,2227.0,18,5,3,1,1,1,1,Vivo
1310.0,1,2.2,1,0,1,51,0.6,100,4,0,178.0,1919,3845.0,7,0,12,1,1,0,3,Nokia
644.0,1,2.7,0,0,0,22,0.7,157,8,3,,881,1262.0,12,1,15,1,0,0,0,
725.0,0,1.3,1,16,0,60,0.4,160,8,17,1134.0,1249,1326.0,10,4,15,1,0,0,1,Asus
589.0,1,2.3,1,1,0,61,0.6,160,4,10,429.0,815,2113.0,13,7,2,1,0,1,1,Motorola
1725.0,1,1.6,1,6,1,6,0.5,119,2,18,609.0,1307,3429.0,6,5,4,1,1,0,3,Apple
790.0,0,2.0,1,16,1,11,0.3,87,6,17,347.0,730,3169.0,6,1,2,1,0,1,2,Samsung
560.0,0,0.5,1,15,0,50,0.3,159,2,20,1448.0,1613,,18,12,11,1,1,0,2,Xiaomi
1347.0,0,2.9,0,5,0,44,0.6,132,1,14,434.0,967,2484.0,18,2,11,1,0,1,2,Apple
1646.0,1,2.3,0,8,1,41,0.2,185,2,10,1725.0,1932,3339.0,18,10,19,1,1,0,3,Vivo
1253.0,1,0.5,1,5,1,5,0.2,152,2,19,685.0,714,1878.0,15,0,4,1,1,0,1,Apple
1656.0,0,1.0,0,5,1,34,0.1,166,3,7,,1456,1629.0,15,12,14,1,1,0,1,
1195.0,1,2.8,0,1,1,20,0.8,110,2,14,1580.0,1652,504.0,9,3,12,1,1,0,0,Xiaomi
,0,2.9,0,0,0,27,0.2,118,3,1,186.0,1810,1152.0,8,3,20,0,1,1,1,Vivo
1723.0,1,1.1,1,1,0,42,1.0,164,8,14,,1791,3587.0,10,5,3,1,0,0,3,Realme
1054.0,1,1.8,1,3,1,40,0.8,196,7,10,27.0,774,2296.0,16,12,12,1,0,1,1,Apple
578.0,1,2.6,1,2,1,57,0.2,162,8,8,1025.0,1433,1270.0,15,3,5,1,0,1,0,Realme
596.0,0,2.1,1,9,0,64,0.8,111,8,15,885.0,1854,3238.0,16,13,10,0,0,0,3,OnePlus
1547.0,1,3.0,1,2,1,14,0.7,198,3,19,1042.0,1832,2059.0,5,0,15,1,0,1,2,Realme
1760.0,0,1.4,1,5,0,63,0.8,127,8,19,1382.0,1383,2053.0,19,12,16,0,1,0,2,Oppo
1654.0,1,1.5,1,0,1,43,0.3,109,2,0,546.0,629,3112.0,12,5,10,1,1,0,3,OnePlus
1457.0,0,1.9,1,1,1,16,0.3,102,3,10,1013.0,1287,1440.0,17,8,12,1,0,1,1,Motorola
,1,0.5,1,0,0,51,0.5,145,7,0,690.0,804,2908.0,6,0,18,0,1,0,2,OnePlus
1936.0,0,2.1,1,10,1,46,0.6,104,3,20,667.0,1036,2552.0,14,7,13,1,0,0,2,Motorola
823.0,1,2.7,1,13,0,60,0.5,148,8,19,822.0,1449,905.0,14,11,17,1,1,1,0,OnePlus
